em_t,base_month,emd_nm,area,em_area_cd_cnt,resid_reg_pop,foreign_pop,d_visit_pop_cnt,l_visit_pop_cnt,s_visit_pop_cnt,pre_mm
24.19,9,정방동,0.44,10,2285.67,117.33,9696.05,458.27,244.38,395.7
18.55,9,조천읍,150.6,129,24591.33,583,32306.55,830.94,452.6,384.2
58.05,9,중문동,56.44,39,11322.33,317.67,13900.82,716.19,298.33,418
48.27,9,중앙동,0.35,5,3752.33,97,11504.2,236.21,69.85,395.7
33.7,9,천지동,1.39,11,3553.33,114,5041.28,169.74,117.31,395.7
23.12,9,표선면,135.16,47,12351,416,15853.58,407.51,317.52,497.4
6.39,9,한경면,79.1,71,9056,376,10197.45,745.96,116.6,220.5
23.34,9,한림읍,91.09,110,21270,3632.67,25685.99,1809.01,374.97,322.8
110.24,9,화북동,8.29,75,24821.67,402.33,26123.37,243.12,37.07,399.2
15.67,9,효돈동,6.6,21,5296,78,4451.25,77.13,23.89,395.7
40.91,10,건입동,2.53,30,9390.33,250.33,19030.65,631.37,662.3,193.9
10.49,10,구좌읍,185.93,97,15606.67,627,23757.69,540.44,316.27,131.4
53.1,10,남원읍,188.71,52,18944.33,752.67,22027.82,907.02,717.58,154
233.42,10,노형동,45.21,159,54223,2255.33,61710.66,2052.16,1621.83,193.9
45.12,10,대륜동,22.24,34,14309.33,208.33,24509.44,508.94,554.02,111.8
73.87,10,대정읍,78.63,83,21459,1740.67,19609.61,1593.07,129.7,104.8
51.07,10,대천동,56.44,36,13773.33,225.67,17244.47,381.91,420.97,111.8
17.67,10,도두동,4.03,25,3175,132.67,10856.36,257.22,1063.42,193.9
101.23,10,동홍동,14.3,47,23049,1197,20816.45,415.62,241.44,132
14.11,10,봉개동,47.34,32,4845,88.67,13780.29,283.05,183.81,199.3
60.57,10,삼도1동,1.27,31,13917.33,160.67,17325.77,228.36,177.28,193.9
34.96,10,삼도2동,0.83,28,8237,261,16321.71,359.52,796.34,193.9
91.45,10,삼양동,9.53,73,25364.67,252.33,13182.05,166.04,59.63,199.3
44.06,10,서홍동,14.71,21,10533,124.33,9822.98,348.94,994.16,132
43.66,10,성산읍,91.09,57,15484.33,1732.33,26957.33,762.02,825.99,137.2
24.48,10,송산동,4.8,19,4285,565.33,4678.06,322.69,90.67,132.6
112.83,10,아라동,70.64,112,34783,1195,40884.74,845.63,189.91,260.4
24.14,10,안덕면,105.6,65,11934.33,658.67,30363.64,1265.52,1063.42,110.8
33.7,10,애월읍,202.16,147,36077,1065.67,65218.31,3046.05,1788.78,109.4
26.49,10,영천동,46.33,29,5264.33,187.67,11211.49,557.3,196.53,132.6
13.04,10,예래동,37.3,17,4014.67,272,19298.74,496.75,1002.12,110.8
56,10,오라동,28.74,81,15186.33,237.67,34200.38,536.31,209.68,193.9
89.51,10,외도동,2.56,64,21697,296,13673.1,239.09,158.69,214.5
34.63,10,용담1동,0.61,25,7317.67,90.33,11938.61,144.45,80.99,193.9
43.22,10,이도1동,0.69,25,7730.67,135.33,24201.3,406.12,200.65,193.9
211.95,10,이도2동,5.4,116,49939.67,661.33,69193.04,773.29,272.18,193.9
19.7,10,이호동,2.56,33,4544,172.33,9133.83,231.42,145.13,214.5
19.26,10,일도1동,0.33,10,2762.33,93.67,7869.79,258.41,81.47,193.9
147.06,10,일도2동,2.18,81,33899,312,28606.94,274.06,172.79,193.9
24.04,10,정방동,0.44,10,2284,117.67,11702.79,535.99,382.13,132.6
18.26,10,조천읍,150.6,132,24629.67,584.67,38502.58,814.62,559.95,196.4
54.81,10,중문동,56.44,39,11304,316.67,16490.74,831.25,350.87,111.2
46.29,10,중앙동,0.35,5,3743,95.67,12904.77,238.99,100.34,132.6
32.09,10,천지동,1.39,11,3551.67,113.67,5630.48,172.63,158.35,132.6
23.37,10,표선면,135.16,47,12358,419,18640.52,450.66,378.89,173
6.22,10,한경면,79.1,69,9065,375.67,10479.01,576.19,124.89,93.1
24.41,10,한림읍,91.09,109,21287,3616.33,28269.75,1627.07,488.24,108.4
102.14,10,화북동,8.29,74,24793.67,403.33,26243.54,257.03,57.77,193.9
14.66,10,효돈동,6.6,19,5283.33,80,4808.3,95.25,38.09,132.6
39.91,11,건입동,2.53,30,9364.67,245.33,19058.7,759.96,461.84,29.7
10.95,11,구좌읍,185.93,99,15589,624.67,20776.08,501.25,202.1,34.3
51.32,11,남원읍,188.71,52,18929,752.67,22124.9,929.44,748.23,31.1
236.11,11,노형동,45.21,159,54340,2248,61419.54,2181.95,1353.37,29.7
45.71,11,대륜동,22.24,35,14330.33,207.33,23024.79,494.24,262.98,27.2
83.21,11,대정읍,78.63,84,21493,1739.67,18636.9,1466.26,135.62,28.9
51.66,11,대천동,56.44,36,13787,230,16461.04,428.61,100.7,27.2
17.85,11,도두동,4.03,25,3178.67,133.67,10178.46,230.81,1002.06,29.7
102.16,11,동홍동,14.3,48,23074.33,1186,20722.8,422.26,195.94,32.1
13.98,11,봉개동,47.34,32,4924,86.67,12969.52,323.25,172.38,45.5
59.71,11,삼도1동,1.27,31,13907.67,148.67,17524.2,219.63,117.9,29.7
34.93,11,삼도2동,0.83,27,8213.67,264.33,16888.09,357.1,579.33,29.7
92.1,11,삼양동,9.53,73,25426.33,251,12706.64,137.19,67.91,45.5
41.38,11,서홍동,14.71,20,10538.33,126,9502.19,336.99,884.44,32.1
41.1,11,성산읍,91.09,58,15476.33,1737,24269.39,723.85,582.33,47.8
22.81,11,송산동,4.8,19,4285,565.67,4434.29,313.82,61.6,32
115.17,11,아라동,70.64,112,34908.67,1201,39778.18,753.87,184.42,49.9
25.7,11,안덕면,105.6,67,11957.33,641.33,28543.01,1063.72,807.89,25
27.5,11,영천동,46.33,29,5274,185,10624.35,568.27,128.66,32
12.96,11,예래동,37.3,17,4019.67,273,18249.07,457.53,592.35,25
55.38,11,오라동,28.74,80,15211,233.33,34847.94,531,183.88,29.7
89.67,11,외도동,2.56,64,21724,296.67,12819.27,209.44,149.6,34.7
34.12,11,용담1동,0.61,25,7294.67,89.67,11786.32,154,69.98,29.7
62.07,11,용담2동,4.93,57,15108.33,241.67,35101.49,671.37,2679.94,29.7
44.49,11,이도1동,0.69,25,7717.33,134.67,23739.78,336.68,143.82,29.7
211.68,11,이도2동,5.4,115,49885.67,648.33,68524.86,740.44,237.96,29.7
19.42,11,이호동,2.56,33,4529.67,176.33,8678.6,197.63,164.58,34.7
19.49,11,일도1동,0.33,10,2750,94.33,8114.89,238.09,57.49,29.7
148.02,11,일도2동,2.18,81,33831.67,305.67,28738.97,290.24,174.25,29.7
24.34,11,정방동,0.44,10,2274.67,119.67,10773.92,500.31,221.29,32
18.21,11,조천읍,150.6,133,24676.67,597.67,35977.93,793.15,368.77,42.7
53.79,11,중문동,56.44,41,11326.33,316,15960.88,941,503.54,25.3
47.02,11,중앙동,0.35,5,3719.67,93.33,12519.83,229.53,72.78,32
33.35,11,천지동,1.39,11,3545,114,5327.62,145.7,116.31,32
25.05,11,표선면,135.16,47,12347,421,17588.73,407.72,328.24,28.8
6.72,11,한경면,79.1,69,9048.67,374.33,9087.37,417.1,79.92,26.1
24.28,11,한림읍,91.09,108,21310.33,3609.33,24642.38,1305.75,380.22,28.2
102.88,11,화북동,8.29,74,24785,402.33,25935.75,246.2,46.93,29.7
15.22,11,효돈동,6.6,20,5273.67,78.67,4842.62,102.07,28.26,32
42.87,12,건입동,2.53,30,9337.33,247,18440.92,773.59,460.78,58
12.84,12,구좌읍,185.93,105,15601.67,613,18936.73,563.15,187.66,50.5
56.65,12,남원읍,188.71,52,18903,748.33,21761.46,1100.12,567.75,72.1
258.6,12,노형동,45.21,159,54437,2237.67,59145.33,2114.67,1482.94,58
50.53,12,대륜동,22.24,35,14388.67,203.33,21911.69,454.36,288.22,58.7
87.28,12,대정읍,78.63,84,21486.33,1730.33,17288.44,1418.7,150.31,47.1
54.79,12,대천동,56.44,36,13793.67,223,16116.91,440.51,109.09,58.7
17.28,12,도두동,4.03,25,3183,129.67,8736.49,258.86,1019.48,58
113,12,동홍동,14.3,49,23078.67,1179.33,20725.95,445.88,237.96,68.2
15.64,12,봉개동,47.34,32,5132.33,91.33,11655.23,389.32,148.52,57.1
64.97,12,삼도1동,1.27,31,13876.67,146.33,17846.11,225.47,154.51,58
36.68,12,삼도2동,0.83,26,8192,264.67,16193.52,343.52,526.07,58
102.29,12,삼양동,9.53,73,25478.67,253.67,14806.38,132.91,58.64,57.1
44.83,12,서홍동,14.71,21,10540.33,127,10253.22,609.63,964.12,68.2
40.62,12,성산읍,91.09,58,15473,1723.67,22639.91,805.06,578.32,60.6
24.04,12,송산동,4.8,19,4291.33,568,4560.19,513.86,51.02,63.4
125.05,12,아라동,70.64,111,34991.67,1169,36375.6,746.95,161.37,70
45.27,12,애월읍,202.16,149,36199,1065.33,57510.02,3403.78,1529.71,57.4
29.4,12,영천동,46.33,30,5260,184.67,11206.92,722.3,158.12,64.1
14.43,12,예래동,37.3,18,4016,271,17551.95,384.25,396.29,54.3
61.36,12,오라동,28.74,80,15251,235.67,35108.41,610.83,185.85,58
97.37,12,외도동,2.56,64,21767,300.33,13471.36,220.39,158.75,62.1
36.86,12,용담1동,0.61,25,7267.33,87.67,11888.51,153.26,67.97,58
65.81,12,용담2동,4.93,57,15099.33,239,31624.99,649.91,2778.38,58
45.51,12,이도1동,0.69,25,7727.67,136.67,23960.82,349.8,143.8,58
231.57,12,이도2동,5.4,115,49751.33,653.67,67912.17,717.94,218.87,58
20.04,12,이호동,2.56,33,4545.33,176,8134.52,229.35,181.12,62.1
19.61,12,일도1동,0.33,10,2730.67,91.33,8018.43,263.17,57.05,58
162.96,12,일도2동,2.18,81,33711,300.67,30710.51,339.95,175.21,58
25.63,12,정방동,0.44,9,2268.33,117.67,10749.49,682.16,203.55,63.4
24.08,12,조천읍,150.6,137,24705,607,31367.79,884.23,364.37,56.6
54.53,12,중문동,56.44,40,11360.67,314,14749.39,785.65,421.48,52.7
49.98,12,중앙동,0.35,5,3701,90.33,13068.63,274.09,67.56,63.4
34.4,12,천지동,1.39,11,3546,114,5179.47,203.7,102.17,63.4
23.3,12,표선면,135.16,47,12327.67,418,15578.4,425.34,347.1,64.4
7.56,12,한경면,79.1,70,9051.67,373,8687.56,413.23,80.9,51.4
32.5,12,한림읍,91.09,110,21307.67,3589.67,22104.18,1549.58,362.1,60.7
113.14,12,화북동,8.29,74,24765.33,395,27358.73,250.39,35.78,58
15.25,12,효돈동,6.6,20,5274,77.67,5091.1,109.71,26.14,64.1
